,Team,Games_x_x,Points_x_x,Yards_x,Plays_x,Yards per Play_x,Turnovers,Fumbles Lost,First Downs,Completions_x_x,Attempts_x_x,Passing Yards,Passing TDs_x,Interceptions_x_x,Net Yards per Passing Attempt,Passing First Downs,Rushing Attempts,Rushing Yards,Rushing TDs_x_x,Rushing Yards per Attempt,Rushing First Downs,Penalties_x,Penalty Yards_x,First Downs by Penalty,Score Percentage,Turnover Percentage_x,Expected Points Contributed by Offense,Games_y_x,Rushing TDs_y_x,Receiving TDs_x,Punt Return TDs,Kick Return TDs,Fumble TDs_x,Interception TDs_x,Other TDs_x,All TDs_x,2 Point Conv. Made,2 Point Conv. Attempted,Defensive 2 Point,Extra Points Made_x,Extra Points Attempted_x,Field Goals Made_x,Field Goals Attempted_x,Safeties_x,Points_y_x,Points per Game_x,Games_x_x,Completions_y_x,Attempts_y_x,Completion Percentage_x,Yards_y,TDs_x,TD Percentage_x,Interceptions_y_x,INT Percentage,Long_x,Yards per Attempt_x,Adj. Yards per Attempt_x,Yards per Completion_x,Yards per Game_x,QBR_x,Sacks,Sack Yards_x,Net Yards per Attempt_x,Adj. Net Yards per Attempt,Sack Percentage_x,4Q Comebacks,Game Winning Drives,Expected Points Added_x_x,Games_y_x,Attempts_x,Yards_x,TDs_y,Long_y,Yards per Attempt_y,Yards per Game_y,Fumbles,Expected Points Added_y_x,Games_x_y,FGA: 0-19,FGM: 0-19,FGA: 20-29,FGM: 20-29,FGA: 30-39,FGM: 30-39,FGA: 40-49,FGM: 40-49,FGA: 50+,FGM: 50+,FGA_x,FGM_x,Long,FG Percentage_x,Extra Points Attempted_y,Extra Points Made_y,Extra Point Percentage_x,Kickoffs,Kickoff Yards,Touchbacks,Touchback Percentage,Kickoff Avg.,Punts_x,Punt Yards_x,Long,Blocked,Yards per Punt_x,Games_y_y,Punt Returns_x,PR Yards_x,PR TDs_x,Long PR,Yards per PR_x,Kick Returns_x,KR Yards_x,KR TDs_x,Long KR,Yards per KR_x,All Purpose Yards,Games_x_x,3rd Down Attempts_x,3rd Down Conversions_x,3rd Down Percentage_x,4th Down Attempts_x,4th Down Conversions_x,4th Down Percentage_x,Red Zone Attempts_x,Red Zone TDs_x,Red Zone Percentage_x,Games_y_x,Drives_x,Plays_y,Scoring Percentage_x,Turnover Percentage_y,Plays per Drive_x,Yards per Drive_x,Average Start_x,Average Time_x,Average Points_x,Games_x_y,Points_x_y,Yards_y,Plays_x,Yards per Play_y,Takeaways,Fumbles Recovered,1st Downs,Completions_x_y,Attempts_x_y, Passing Yards,Passing TDs_x,Interceptions_x_y,Passing Yards per Attempt_x,Passing 1st Downs,Rushing Attempts_x,Rushing Yards_x,Rushing TDs_x_y,Rushing Yards per Attempt_x,Rushing 1st Downs,Penalties_y,Penalty Yards_y,1st Downs by Penalty,Scoring Percentage_y,Takeaway Percentage,Expected Points Added_x_y,Games_y_y,Attempts_y_y,Completions_y_y,Passing Yards_x,Passing TDs_y,Target Depth,Completion Air Yards,Yards After Catch,Blitzes,Blitzes per Dropback,Hurries,Hurries per Dropback,Knockdowns,Knockdowns per Attempt,Sacks_x,Pressures,Pressures per Dropback,Missed Tackles,Games_x_y,Rushing TDs_y_y,Receiving TDs_y,PR TDs_y,KR TDs_y,Fumble TDs_y,Interception TDs_y,Other TDs_y,All TDs_y,2P Made,2p Attempted,Extra Points Made_x,Extra Points Attempted_x,Field Goals Made_y,Field Goals Attempted_y,Safeties_y,Points_y_y,Points per Game_y,Games_y_y,Completions,Attempts_y,Completion Percentage_y,Passing Yards_y,Passing TDs_y,TD Percentage_y,Interceptions_y_y,Passes Defensed,Interception Percentage,Passing Yards per Attempt_y,Adj. Yards per Attempt_y,Yards per Completion_y,Passing Yards per Game,QBR_y,Sacks_y,Sack Yards_y,QB Hits,Tackles for Loss,Net Yards per Attempt_y,Adj. Net Yards Per Attempt,Sack Percentage_y,Expected Points Added_y_y,Games,Rushing Attempts_y,Rushing Yards_y,Rushing TDs,Rushing Yards per Attempt_y,Rushing Yards per Game,Expected Points Added,Games_x_x,FGA_y,FGM_y,FG Percentage_y,Extra Points Attempted_y,Extra Points Made_y,Extra Point Percentage_y,Punts_y,Punt Yards_y,Punt Blocks,Yards per Punt_y,Games_y_x,Punt Returns_y,PR Yards_y,PR TDs,Yards per PR_y,Kick Returns_y,KR Yards_y,KR TDs,Yards per KR_y,Games_x_y,3rd Down Attempts_y,3rd Down Conversions_y,3rd Down Percentage_y,4th Down Attempts_y,4th Down Conversions_y,4th Down Percentage_y,Red Zone Attempts_y,Red Zone TDs_y,Red Zone Percentage_y,Games_y_y,Drives_y,Plays_y,Scoring Percentage,Turnover Percentage,Plays per Drive_y,Yards per Drive_y,Average Start_y,Average Time_y,Average Points_y
0,Green Bay Packers,16,509,6224,990,6.3,11,6,358,372,526,4106,48,5,7.5,216,443,2118,16,4.8,114,84,684,28,49.7,5.6,283.35\,16.0,16.0,48.0,,,1.0,1.0,,66.0,2.0,3.0,,59.0,63.0,16.0,16.0,1.0,509.0,31.8\,16.0,372.0,526.0,70.7,4106.0,48.0,9.1,5.0,1.0,78.0,8.2,9.6,11.6,256.6,121.5,21.0,193.0,7.5,8.9,3.8,1.0,2.0,247.81\,16.0,443.0,2118.0,16.0,77.0,4.8,132.4,11.0,42.74\,16,1,1,1,1,5,5,5,5,4,4,16,16,57,100.0%,63,59,93.7%,98,6201,52,53.1%,63.3,47,2092,62,1,44.5\,16,11,53,0,11,4.8,33,623,0,34,18.9,7241\,16,180,89,49.4%,21,13,61.9%,60,48,80.0%\,16,161,1006,49.7,5.6,6.2,38.6,Own 28.8,3:14,3.08\,16,369,5344,974,5.5,18,7,332,346,536,3539,23,11,6.1,184,397,1805,16,4.5,119,79,734,29,39.9,11.4,-95.27\,16.0,536.0,346.0,3539.0,23.0,7.7,2112.0,1858.0,150.0,24.7%,50.0,8.2%,36.0,6.7%,41.0,127.0,20.9%,108\,16.0,16.0,23.0,2.0,,,1.0,,42.0,5.0,5.0,35.0,37.0,24.0,27.0,,369.0,23.1\,16.0,346.0,536.0,64.6,3539.0,23.0,4.3,11.0,74.0,2.1,7.1,7.0,11.0,221.2,91.1,41.0,254.0,80.0,58.0,6.1,6.1,7.1,-59.41\,16.0,397.0,1805.0,16.0,4.5,112.8,-36.38\,16,27,24,88.9%,37,35,94.6%,56,2506,0,44.8\,16,17,291,2,17.1,45,1088,0,24.2\,16,185,73,39.5%,24,14,58.3%,52,30,57.7%\,16,158,1001,39.9,11.4,6.3,33.8,Own 28.6,2:48,2.18\
1,Buffalo Bills,16,501,6343,1034,6.1,22,11,397,410,596,4620,40,11,7.4,240,411,1723,16,4.2,119,102,941,38,49.4,11.8,225.63\,16.0,16.0,40.0,1.0,,1.0,2.0,,60.0,,1.0,,57.0,59.0,28.0,34.0,,501.0,31.3\,16.0,410.0,596.0,68.8,4620.0,40.0,6.7,11.0,1.8,56.0,8.0,8.5,11.7,288.8,107.6,27.0,166.0,7.4,7.9,4.3,2.0,3.0,244.72\,16.0,411.0,1723.0,16.0,51.0,4.2,107.7,18.0,-12.12\,16,1,1,9,9,9,6,9,8,6,4,34,28,58,82.4%,59,57,96.6%,101,6469,71,70.3%,64.0,41,2082,72,0,50.8\,16,31,370,1,84,11.9,36,995,0,60,27.6,8083\,16,187,93,49.7%,10,8,80.0%,68,42,61.8%\,16,170,1068,49.4,11.8,6.3,37.3,Own 30.7,2:59,2.80\,16,375,5640,1025,5.5,26,11,351,369,573,3726,23,15,6.1,199,414,1914,21,4.6,125,86,728,27,39.4,15.3,-92.76\,16.0,573.0,369.0,3726.0,23.0,7.0,2192.0,1758.0,230.0,35.8%,51.0,7.9%,46.0,8.0%,38.0,135.0,21.0%,127\,16.0,21.0,23.0,,,,,,44.0,5.0,7.0,32.0,37.0,23.0,25.0,,375.0,23.4\,16.0,369.0,573.0,64.4,3726.0,23.0,4.0,15.0,76.0,2.6,6.9,6.5,10.7,232.9,86.9,38.0,220.0,92.0,72.0,6.1,5.7,6.2,-53.29\,16.0,414.0,1914.0,21.0,4.6,119.6,-49.53\,16,25,23,92.0%,37,32,86.5%,63,2896,0,46.0\,16,16,138,0,8.6,30,537,0,17.9\,16,191,76,39.8%,19,11,57.9%,58,38,65.5%\,16,170,1050,39.4,15.3,6.2,33.1,Own 26.6,2:39,2.22\
2,Tampa Bay Buccaneers,16,492,6145,1017,6.0,17,5,364,410,626,4626,42,12,7.1,238,369,1519,16,4.1,82,84,715,44,47.8,8.9,221.09\,16.0,16.0,42.0,,,,1.0,,59.0,,2.0,,52.0,57.0,28.0,31.0,1.0,492.0,30.8\,16.0,410.0,626.0,65.5,4626.0,42.0,6.7,12.0,1.9,50.0,7.6,8.1,11.6,289.1,102.8,22.0,150.0,7.1,7.6,3.4,3.0,3.0,242.54\,16.0,369.0,1519.0,16.0,98.0,4.1,94.9,12.0,-9.75\,16,1,1,10,10,9,9,9,7,2,1,31,28,50,90.3%,57,52,91.2%,101,6493,85,84.2%,64.3,55,2486,62,0,45.2\,16,30,176,0,21,5.9,25,546,0,34,21.8,7225\,16,191,83,43.5%,14,8,57.1%,61,42,68.9%\,16,180,1048,47.8,8.9,5.8,34.1,Own 31.0,2:34,2.72\,16,355,5234,1023,5.1,25,10,319,426,617,3945,29,15,5.9,215,358,1289,10,3.6,78,95,1015,26,33.7,14.0,-22.54\,16.0,617.0,426.0,3945.0,29.0,7.6,2656.0,2002.0,268.0,39.0%,73.0,10.6%,66.0,10.7%,48.0,187.0,27.2%,103\,16.0,10.0,29.0,1.0,,,2.0,,42.0,1.0,3.0,38.0,39.0,21.0,26.0,,355.0,22.2\,16.0,426.0,617.0,69.0,3945.0,29.0,4.7,15.0,70.0,2.4,7.0,6.8,10.1,246.6,94.3,48.0,366.0,116.0,91.0,5.9,5.8,7.2,-49.27\,16.0,358.0,1289.0,10.0,3.6,80.6,25.54\,16,26,21,80.8%,39,38,97.4%,66,2956,1,44.8\,16,23,236,1,10.3,14,471,0,33.6\,16,205,82,40.0%,25,14,56.0%,51,32,62.7%\,16,178,1049,33.7,14.0,5.9,29.4,Own 28.1,2:48,1.89\
3,Tennessee Titans,16,491,6343,1031,6.2,12,5,381,316,485,3653,33,7,7.2,203,521,2690,26,5.2,142,86,783,36,47.9,7.2,245.01\,16.0,26.0,33.0,,1.0,2.0,,,62.0,4.0,7.0,,51.0,53.0,20.0,28.0,,491.0,30.7\,16.0,316.0,485.0,65.2,3653.0,33.0,6.8,7.0,1.4,75.0,7.9,8.6,12.1,228.3,105.9,25.0,173.0,7.2,7.8,4.9,5.0,6.0,191.17\,16.0,521.0,2690.0,26.0,94.0,5.2,168.1,15.0,58.09\,16,,,3,2,6,5,11,6,8,7,28,20,55,71.4%,53,51,96.2%,94,5795,53,56.4%,61.6,50,2256,66,1,45.1\,16,23,208,0,40,9.0,38,767,1,42,20.2,7788\,16,182,84,46.2%,16,10,62.5%,64,48,75.0%\,16,167,1059,47.9,7.2,6.3,37.7,Own 28.7,2:45,2.87\,16,439,6372,1076,5.9,23,8,391,423,630,4439,36,15,6.8,247,427,1933,18,4.5,113,103,840,31,45.2,13.3,-185.20\,16.0,630.0,423.0,4439.0,36.0,8.1,2586.0,2002.0,194.0,28.7%,49.0,7.2%,49.0,7.8%,19.0,117.0,17.3%,113\,16.0,18.0,36.0,,,,,1.0,54.0,1.0,8.0,42.0,47.0,21.0,23.0,1.0,439.0,27.4\,16.0,423.0,630.0,67.1,4439.0,36.0,5.7,15.0,81.0,2.4,7.3,7.4,10.9,277.4,97.5,19.0,154.0,72.0,54.0,6.8,6.9,2.9,-179.72\,16.0,427.0,1933.0,18.0,4.5,120.8,-31.76\,16,23,21,91.3%,47,42,89.4%,45,2147,0,47.7\,16,20,171,0,8.6,37,823,0,22.2\,16,214,111,51.9%,26,15,57.7%,65,45,69.2%\,16,166,1099,45.2,13.3,6.6,38.2,Own 27.7,3:04,2.66\
4,New Orleans Saints,16,482,6023,1045,5.8,17,9,367,370,522,3758,28,8,6.8,199,494,2265,30,4.6,147,98,1005,21,45.5,9.0,176.94\,16.0,30.0,28.0,,,,1.0,,59.0,,1.0,,57.0,58.0,23.0,28.0,1.0,482.0,30.1\,16.0,370.0,522.0,70.9,3758.0,28.0,5.4,8.0,1.5,52.0,7.6,7.9,10.7,234.9,104.1,29.0,187.0,6.8,7.2,5.3,1.0,3.0,124.81\,16.0,494.0,2265.0,30.0,49.0,4.6,141.6,27.0,49.14\,16,,,6,5,10,10,9,7,3,1,28,23,53,82.1%,58,57,98.3%,95,5962,71,74.7%,62.8,62,2674,58,0,43.1\,16,39,399,0,42,10.2,30,761,0,75,25.4,7578\,16,208,93,44.7%,16,11,68.8%,68,49,72.1%\,16,178,1073,45.5,9.0,6.0,33.9,Own 32.0,2:54,2.67\,16,337,4974,992,5.0,26,8,320,333,557,3472,28,18,5.8,185,390,1502,11,3.9,85,64,517,50,34.7,13.1,-40.02\,16.0,557.0,333.0,3472.0,28.0,9.0,2331.0,1589.0,197.0,31.8%,62.0,10.0%,54.0,9.7%,45.0,161.0,26.0%,81\,16.0,11.0,28.0,,,,,,39.0,2.0,4.0,33.0,35.0,22.0,26.0,,337.0,21.1\,16.0,333.0,557.0,59.8,3472.0,28.0,5.0,18.0,84.0,3.2,6.7,6.3,11.3,217.0,83.3,45.0,287.0,113.0,81.0,5.8,5.4,7.5,-73.09\,16.0,390.0,1502.0,11.0,3.9,93.9,22.79\,16,26,22,84.6%,35,33,94.3%,66,3068,0,46.5\,16,20,46,0,2.3,22,379,0,17.2\,16,207,79,38.2%,30,16,53.3%,50,34,68.0%\,16,176,1018,34.7,13.1,5.8,28.1,Own 27.5,2:37,1.93\
5,Kansas City Chiefs,16,473,6653,1057,6.3,16,9,397,420,630,4854,40,7,7.4,255,403,1799,13,4.5,110,105,919,32,47.9,9.2,258.38\,16.0,13.0,40.0,1.0,1.0,,2.0,,57.0,3.0,3.0,,48.0,54.0,25.0,27.0,1.0,473.0,29.6\,16.0,420.0,630.0,66.7,4854.0,40.0,6.3,7.0,1.1,75.0,7.9,8.7,11.9,303.4,107.3,24.0,151.0,7.4,8.2,3.7,3.0,3.0,241.71\,16.0,403.0,1799.0,13.0,32.0,4.5,112.4,19.0,23.03\,16,2,2,7,7,9,9,5,3,4,4,27,25,58,92.6%,54,48,88.9%,97,6130,72,74.2%,63.2,52,2339,67,0,45.0\,16,28,163,1,67,5.8,25,646,1,102,25.8,7881\,16,194,95,49.0%,16,9,56.3%,59,36,61.0%\,16,163,1084,47.9,9.2,6.7,40.7,Own 28.2,3:00,2.74\,16,362,5733,1022,5.6,22,6,353,349,557,3779,29,16,6.4,202,433,1954,14,4.5,113,97,760,38,36.1,13.0,-114.11\,16.0,557.0,349.0,3779.0,29.0,8.5,2151.0,2085.0,221.0,35.6%,55.0,8.9%,63.0,11.3%,32.0,150.0,24.2%,120\,16.0,14.0,29.0,,1.0,,,,44.0,1.0,4.0,38.0,40.0,18.0,26.0,2.0,362.0,22.6\,16.0,349.0,557.0,62.7,3779.0,29.0,5.2,16.0,64.0,2.9,7.1,6.9,11.4,236.2,89.4,32.0,189.0,99.0,47.0,6.4,6.2,5.4,-83.00\,16.0,433.0,1954.0,14.0,4.5,122.1,-46.96\,16,26,18,69.2%,40,38,95.0%,57,2647,0,46.4\,16,15,119,0,7.9,23,549,1,23.9\,16,188,77,41.0%,20,13,65.0%,47,36,76.6%\,16,169,1048,36.1,13.0,6.2,33.8,Own 25.8,2:50,2.10\
6,Baltimore Ravens,16,468,5810,993,5.9,18,7,327,257,406,2739,27,11,6.3,142,555,3071,24,5.5,166,104,961,19,45.3,10.6,148.30\,16.0,24.0,27.0,,1.0,3.0,,,55.0,2.0,2.0,,52.0,53.0,26.0,29.0,2.0,468.0,29.3\,16.0,257.0,406.0,63.3,2739.0,27.0,6.7,11.0,2.7,70.0,7.2,7.3,11.4,171.2,95.7,32.0,180.0,6.3,6.4,7.3,1.0,1.0,36.43\,16.0,555.0,3071.0,24.0,72.0,5.5,191.9,25.0,116.76\,16,,,8,8,7,6,9,9,5,3,29,26,55,89.7%,53,52,98.1%,95,6094,65,68.4%,64.1,53,2368,59,0,44.7\,16,27,244,0,20,9.0,23,613,1,93,26.7,7048\,16,207,101,48.8%,19,12,63.2%,60,38,63.3%\,16,170,1022,45.3,10.6,6.0,34.1,Own 31.9,2:58,2.56\,16,303,5276,1017,5.2,22,12,347,380,596,3536,22,10,5.6,213,382,1740,12,4.6,96,77,646,38,30.0,12.4,-17.69\,16.0,596.0,380.0,3536.0,22.0,7.9,2078.0,1787.0,290.0,44.1%,60.0,9.1%,71.0,11.9%,39.0,170.0,25.9%,135\,16.0,12.0,22.0,,,1.0,2.0,,37.0,4.0,6.0,25.0,30.0,16.0,24.0,,303.0,18.9\,16.0,380.0,596.0,63.8,3536.0,22.0,3.7,10.0,67.0,1.7,6.4,6.4,10.0,221.0,87.2,39.0,272.0,116.0,71.0,5.6,5.6,6.1,-51.17\,16.0,382.0,1740.0,12.0,4.6,108.8,14.33\,16,24,16,66.7%,30,25,83.3%,61,2838,0,46.5\,16,19,108,0,5.7,30,634,0,21.1\,16,191,65,34.0%,35,16,45.7%,45,28,62.2%\,16,170,1041,30.0,12.4,6.1,30.8,Own 25.6,2:43,1.72\
7,Seattle Seahawks,16,459,5912,1022,5.8,18,5,356,388,563,3941,40,13,6.5,216,411,1971,15,4.8,111,84,662,29,44.4,10.1,129.24\,16.0,15.0,40.0,,,,,,55.0,1.0,2.0,,49.0,53.0,24.0,24.0,3.0,459.0,28.7\,16.0,388.0,563.0,68.9,3941.0,40.0,7.1,13.0,2.3,62.0,7.5,7.9,10.9,246.3,105.0,48.0,304.0,6.5,6.8,7.9,3.0,3.0,117.25\,16.0,411.0,1971.0,15.0,50.0,4.8,123.2,14.0,26.56\,16,,,2,2,7,7,13,13,2,2,24,24,61,100.0%,53,49,92.5%,93,5818,52,55.9%,62.6,61,3028,67,0,49.6\,16,22,189,0,20,8.6,28,629,0,49,22.5,7129\,16,189,76,40.2%,14,8,57.1%,56,41,73.2%\,16,178,1046,44.4,10.1,5.9,33.1,Own 31.1,2:42,2.57\,16,371,6089,1112,5.5,22,8,376,450,674,4560,23,14,6.3,253,392,1529,18,3.9,97,94,803,26,40.0,12.0,-85.81\,16.0,674.0,450.0,4560.0,23.0,8.0,2970.0,1925.0,253.0,33.5%,70.0,9.3%,60.0,8.9%,46.0,176.0,23.3%,89\,16.0,18.0,23.0,,,,1.0,,42.0,3.0,9.0,26.0,33.0,29.0,35.0,,371.0,23.2\,16.0,450.0,674.0,66.8,4560.0,23.0,3.4,14.0,80.0,2.1,7.1,6.9,10.7,285.0,90.2,46.0,251.0,109.0,88.0,6.3,6.1,6.4,-118.72\,16.0,392.0,1529.0,18.0,3.9,95.6,13.95\,16,35,29,82.9%,33,26,78.8%,56,2524,1,45.1\,16,28,199,0,7.1,38,815,0,21.4\,16,223,105,47.1%,23,10,43.5%,56,35,62.5%\,16,175,1147,40.0,12.0,6.6,34.8,Own 25.5,2:47,2.14\
8,Indianapolis Colts,16,451,6049,1032,5.9,15,4,364,371,552,4053,24,11,7.1,201,459,1996,20,4.3,129,94,899,34,44.4,8.8,168.41\,16.0,20.0,24.0,,1.0,,4.0,1.0,50.0,3.0,5.0,,43.0,45.0,32.0,37.0,3.0,451.0,28.2\,16.0,371.0,552.0,67.2,4053.0,24.0,4.3,11.0,2.0,55.0,7.6,7.6,11.3,253.3,95.9,21.0,133.0,7.1,7.0,3.7,2.0,3.0,166.22\,16.0,459.0,1996.0,20.0,62.0,4.3,124.8,8.0,12.49\,16,,,10,10,13,12,11,9,3,1,37,32,53,86.5%,45,43,95.6%,97,6070,46,47.4%,62.6,49,2216,60,1,45.2\,16,31,312,0,26,10.1,43,1111,1,101,25.8,7910\,16,197,78,39.6%,26,16,61.5%,60,35,58.3%\,16,171,1069,44.4,8.8,6.3,35.4,Own 30.2,2:55,2.36\,16,362,5314,992,5.4,25,10,329,369,562,3866,24,15,6.4,203,390,1448,16,3.7,94,86,755,32,35.1,14.3,-75.62\,16.0,562.0,369.0,3866.0,24.0,8.0,2546.0,1766.0,108.0,17.1%,71.0,11.2%,34.0,6.0%,40.0,145.0,22.9%,70\,16.0,16.0,24.0,,1.0,1.0,1.0,,43.0,2.0,2.0,41.0,41.0,19.0,23.0,1.0,362.0,22.6\,16.0,369.0,562.0,65.7,3866.0,24.0,4.3,15.0,78.0,2.7,7.3,7.0,11.2,241.6,90.5,40.0,261.0,81.0,71.0,6.4,6.1,6.6,-90.05\,16.0,390.0,1448.0,16.0,3.7,90.5,13.82\,16,23,19,82.6%,41,41,100.0%,64,2832,1,44.3\,16,23,177,0,7.7,51,1087,1,21.3\,16,203,86,42.4%,14,6,42.9%,52,32,61.5%\,16,168,1015,35.1,14.3,6.0,31.6,Own 25.8,2:46,2.01\
9,Las Vegas Raiders,16,434,6133,1036,5.9,26,16,359,369,551,4217,28,10,7.3,206,457,1916,20,4.2,121,98,856,32,47.9,14.8,147.62\,16.0,20.0,28.0,,,,,,48.0,1.0,1.0,,45.0,47.0,33.0,35.0,,434.0,27.1\,16.0,369.0,551.0,67.0,4217.0,28.0,5.1,10.0,1.8,85.0,8.0,8.2,11.9,263.6,100.4,28.0,166.0,7.3,7.5,4.8,3.0,5.0,133.30\,16.0,457.0,1916.0,20.0,43.0,4.2,119.8,24.0,17.40\,16,,,18,18,8,8,5,3,4,4,35,33,54,94.3%,47,45,95.7%,95,5966,61,64.2%,62.8,44,1939,63,0,44.1\,16,23,265,0,32,11.5,22,418,0,44,19.0,7125\,16,198,91,46.0%,21,16,76.2%,59,32,54.2%\,16,169,1071,47.9,14.8,6.3,36.2,Own 29.5,2:56,2.57\,16,478,6225,1039,6.0,15,5,381,370,580,4212,28,10,7.0,223,438,2013,24,4.6,114,95,915,44,50.3,8.4,-211.22\,16.0,580.0,370.0,4212.0,28.0,7.8,2488.0,2054.0,147.0,23.5%,75.0,12.0%,48.0,8.3%,21.0,144.0,23.0%,147\,16.0,24.0,28.0,,,1.0,2.0,,55.0,4.0,6.0,44.0,48.0,32.0,39.0,,478.0,29.9\,16.0,370.0,580.0,63.8,4212.0,28.0,4.8,10.0,74.0,1.7,7.5,7.7,11.7,263.3,95.3,21.0,129.0,77.0,61.0,7.0,7.2,3.5,-181.81\,16.0,438.0,2013.0,24.0,4.6,125.8,-38.01\,16,39,32,82.1%,48,44,91.7%,48,2192,0,45.7\,16,14,133,0,9.5,32,748,0,23.4\,16,205,100,48.8%,17,14,82.4%,68,42,61.8%\,16,167,1078,50.3,8.4,6.5,37.3,Own 28.9,2:49,2.75\
