,Team,Games,FGA: 0-19,FGM: 0-19,FGA: 20-29,FGM: 20-29,FGA: 30-39,FGM: 30-39,FGA: 40-49,FGM: 40-49,FGA: 50+,FGM: 50+,FGA,FGM,Blocked,Long,Long,FG Percentage,Extra Points Attempted,Extra Points Made,Extra Point Percentage,Kickoffs,Kickoff Yards,Touchbacks,Touchback Percentage,Kickoff Avg.,Punts,Punt Yards,Long,Long,Yards per Punt,Punt Returns,PR Yards,PR TDs,Long PR,Kick Returns,KR Yards,KR TDs,Long KR,All Purpose Yards
0,New Orleans Saints,16,,,6,5,10,10,9,7,3,1,28,23,0,53,58,82.1%,58,57,98.3%,95,5962,71,74.7%,62.8,62,2674,53,58,43.1\,39,399,0,42,30,761,0,75,7578\
1,Pittsburgh Steelers,16,,,6,6,7,7,10,9,1,1,24,23,0,59,62,95.8%,45,41,91.1%,88,5491,45,51.1%,62.4,77,3470,59,62,45.1\,37,356,0,57,29,670,0,49,6683\
2,Tampa Bay Buccaneers,16,1,1,10,10,9,9,9,7,2,1,31,28,0,50,62,90.3%,57,52,91.2%,101,6493,85,84.2%,64.3,55,2486,50,62,45.2\,30,176,0,21,25,546,0,34,7225\
3,Miami Dolphins,16,1,1,8,8,7,7,14,12,9,8,39,36,0,56,63,92.3%,36,36,100.0%,92,5589,64,69.6%,60.8,68,3040,56,63,44.7\,32,354,1,88,12,215,0,45,6487\
4,Los Angeles Rams,16,,,7,6,11,10,10,7,2,1,30,24,1,51,63,80.0%,42,38,90.5%,81,5204,54,66.7%,64.2,69,3099,51,63,44.9\,34,235,0,34,25,516,0,41,7224\
5,Washington Football Team,16,,,5,5,8,7,17,13,4,2,34,27,0,51,65,79.4%,32,30,93.8%,78,4808,65,83.3%,61.6,73,3504,51,65,48.0\,31,176,0,22,31,645,0,46,6416\
6,Seattle Seahawks,16,,,2,2,7,7,13,13,2,2,24,24,0,61,67,100.0%,53,49,92.5%,93,5818,52,55.9%,62.6,61,3028,61,67,49.6\,22,189,0,20,28,629,0,49,7129\
7,Cincinnati Bengals,16,,,3,3,15,13,10,8,6,3,34,27,0,55,72,79.4%,33,32,97.0%,76,4777,56,73.7%,62.9,71,3350,55,72,47.2\,23,232,0,29,31,764,1,103,6579\
8,Baltimore Ravens,16,,,8,8,7,6,9,9,5,3,29,26,0,55,59,89.7%,53,52,98.1%,95,6094,65,68.4%,64.1,53,2368,55,59,44.7\,27,244,0,20,23,613,1,93,7048\
9,Buffalo Bills,16,1,1,9,9,9,6,9,8,6,4,34,28,0,58,72,82.4%,59,57,96.6%,101,6469,71,70.3%,64.0,41,2082,58,72,50.8\,31,370,1,84,36,995,0,60,8083\
10,New York Jets,16,,,7,6,10,9,6,3,5,3,28,21,0,55,60,75.0%,24,20,83.3%,63,3965,34,54.0%,62.9,82,3598,55,60,43.9\,10,86,0,18,41,811,0,66,5840\
11,Atlanta Falcons,16,,,11,11,12,11,9,8,8,8,40,38,0,54,57,95.0%,38,34,89.5%,92,5802,46,50.0%,63.1,56,2381,54,57,42.5\,17,152,0,24,20,409,0,29,6918\
12,Arizona Cardinals,16,,,5,5,7,6,15,10,3,2,30,23,0,56,61,76.7%,46,45,97.8%,87,5450,39,44.8%,62.6,58,2600,56,61,44.8\,25,136,0,24,24,525,0,54,7159\
13,San Francisco 49ers,16,,,3,3,8,7,11,10,4,2,26,22,1,52,60,84.6%,40,38,95.0%,81,4871,44,54.3%,60.1,67,3093,52,60,46.2\,25,226,0,21,27,520,0,34,7100\
14,Kansas City Chiefs,16,2,2,7,7,9,9,5,3,4,4,27,25,0,58,67,92.6%,54,48,88.9%,97,6130,72,74.2%,63.2,52,2339,58,67,45.0\,28,163,1,67,25,646,1,102,7881\
15,Chicago Bears,16,,,9,9,10,10,10,9,3,2,32,30,0,55,64,93.8%,37,36,97.3%,86,5252,42,48.8%,61.1,64,2924,55,64,45.7\,25,190,0,32,47,1145,1,104,6997\
16,Los Angeles Chargers,16,,,8,8,6,6,13,8,6,2,33,24,3,53,63,72.7%,39,36,92.3%,84,5364,49,58.3%,63.9,60,2669,53,63,44.5\,18,100,0,30,42,924,0,76,7606\
17,Tennessee Titans,16,,,3,2,6,5,11,6,8,7,28,20,1,55,66,71.4%,53,51,96.2%,94,5795,53,56.4%,61.6,50,2256,55,66,45.1\,23,208,0,40,38,767,1,42,7788\
18,Indianapolis Colts,16,,,10,10,13,12,11,9,3,1,37,32,1,53,60,86.5%,45,43,95.6%,97,6070,46,47.4%,62.6,49,2216,53,60,45.2\,31,312,0,26,43,1111,1,101,7910\
19,Denver Broncos,16,,,6,6,5,4,8,8,16,10,35,28,1,58,69,80.0%,30,25,83.3%,79,4839,54,68.4%,61.3,66,3040,58,69,46.1\,20,267,1,83,27,557,0,31,6531\
20,Detroit Lions,16,,,4,4,7,7,7,4,10,6,28,21,0,59,67,75.0%,41,38,92.7%,78,4735,26,33.3%,60.7,59,2897,59,67,49.1\,17,217,1,74,34,845,0,71,7015\
21,Dallas Cowboys,16,1,1,5,5,13,13,13,12,9,3,41,34,0,59,58,82.9%,36,33,91.7%,92,5705,60,65.2%,62.0,50,2250,59,58,45.0\,29,265,0,73,37,965,1,67,7743\
22,Green Bay Packers,16,1,1,1,1,5,5,5,5,4,4,16,16,1,57,62,100.0%,63,59,93.7%,98,6201,52,53.1%,63.3,47,2092,57,62,44.5\,11,53,0,11,33,623,0,34,7241\
23,Las Vegas Raiders,16,,,18,18,8,8,5,3,4,4,35,33,0,54,63,94.3%,47,45,95.7%,95,5966,61,64.2%,62.8,44,1939,54,63,44.1\,23,265,0,32,22,418,0,44,7125\
24,Houston Texans,16,,,8,8,9,9,8,6,6,4,31,27,0,54,67,87.1%,40,37,92.5%,87,5469,52,59.8%,62.9,55,2531,54,67,46.0\,20,158,0,19,36,722,0,29,7195\
25,Cleveland Browns,16,,,5,5,6,4,12,10,1,,24,19,0,46,59,79.2%,48,43,89.6%,84,5325,45,53.6%,63.4,51,2244,46,59,44.0\,24,115,0,13,36,795,0,43,7160\
26,New York Giants,16,,,4,4,13,13,9,9,6,5,32,31,1,55,71,96.9%,23,21,91.3%,74,4407,30,40.5%,59.6,66,2911,55,71,44.1\,20,228,0,20,36,788,0,48,6259\
27,Minnesota Vikings,16,,,6,6,4,3,7,4,5,2,22,15,2,53,59,68.2%,43,37,86.0%,85,5053,53,62.4%,59.4,56,2435,53,59,43.5\,16,69,0,13,33,722,0,38,7398\
